Module	Section	Sample Name	Source
qc3C	bam	DRR177172	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177172/report.qc3C.json
qc3C	bam	DRR177173	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177173/report.qc3C.json
qc3C	bam	DRR177160	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177160/report.qc3C.json
qc3C	bam	DRR177158	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177158/report.qc3C.json
qc3C	bam	DRR177167	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177167/report.qc3C.json
qc3C	bam	DRR177169	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177169/report.qc3C.json
qc3C	bam	DRR177168	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177168/report.qc3C.json
qc3C	bam	DRR177157	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177157/report.qc3C.json
qc3C	bam	DRR177159	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177159/report.qc3C.json
qc3C	bam	DRR177166	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177166/report.qc3C.json
qc3C	bam	DRR177161	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177161/report.qc3C.json
qc3C	bam	DRR177171	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177171/report.qc3C.json
qc3C	bam	DRR177170	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177170/report.qc3C.json
qc3C	bam	DRR177164	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177164/report.qc3C.json
qc3C	bam	DRR177163	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177163/report.qc3C.json
qc3C	bam	DRR177162	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177162/report.qc3C.json
qc3C	bam	DRR177165	/Users/cerebis/git/qc3C/Feb7_2020/drr/bam_out/DRR177165/report.qc3C.json
qc3C	kmer	DRR177172	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177172/report.qc3C.json
qc3C	kmer	DRR177173	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177173/report.qc3C.json
qc3C	kmer	DRR177160	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177160/report.qc3C.json
qc3C	kmer	DRR177158	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177158/report.qc3C.json
qc3C	kmer	DRR177167	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177167/report.qc3C.json
qc3C	kmer	DRR177169	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177169/report.qc3C.json
qc3C	kmer	DRR177168	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177168/report.qc3C.json
qc3C	kmer	DRR177157	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177157/report.qc3C.json
qc3C	kmer	DRR177159	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177159/report.qc3C.json
qc3C	kmer	DRR177166	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177166/report.qc3C.json
qc3C	kmer	DRR177161	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177161/report.qc3C.json
qc3C	kmer	DRR177171	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177171/report.qc3C.json
qc3C	kmer	DRR177170	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177170/report.qc3C.json
qc3C	kmer	DRR177164	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177164/report.qc3C.json
qc3C	kmer	DRR177163	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177163/report.qc3C.json
qc3C	kmer	DRR177162	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177162/report.qc3C.json
qc3C	kmer	DRR177165	/Users/cerebis/git/qc3C/Feb7_2020/drr/kmer_out/DRR177165/report.qc3C.json
